condition_id,replicate_id,nickname,source_output_path,n_scores,mean_total,sd_total,mean_position,mean_scientific_fidelity,mean_article_structure,mean_reader_orientation,mean_cohesion_coherence,mean_evidence_uncertainty,mean_style_readability,mean_constraint_following
C1,R1,Amber,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,5,96.2,3.114,3.0,19.4,14.0,14.6,18.8,14.8,9.6,5.0
C1,R2,Zephyr,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,5,94.2,2.588,3.0,19.4,14.0,14.6,18.6,14.4,8.8,4.4
C1,R3,Summit,comparing/authoring_results/run-2026-05-01-D003/C1_R3.md,5,96.6,2.51,3.0,19.6,14.2,14.6,19.2,14.8,9.6,4.6
C2,R1,Ridge,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,5,92.2,4.604,3.0,19.2,12.2,13.8,18.8,14.4,9.4,4.4
C2,R2,Vale,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,5,93.0,6.164,3.0,19.4,12.2,14.2,19.2,14.8,9.4,3.8
C2,R3,Lantern,comparing/authoring_results/run-2026-05-01-D003/C2_R3.md,5,90.8,3.701,3.0,18.8,12.2,14.0,18.6,14.2,9.0,4.0
C3,R1,Fjord,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,5,95.6,2.51,3.0,19.4,14.6,14.4,18.8,14.8,9.0,4.6
C3,R2,Dawn,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,5,93.8,3.633,3.0,18.8,14.4,14.2,18.6,14.4,9.0,4.4
C3,R3,Meadow,comparing/authoring_results/run-2026-05-01-D003/C3_R3.md,5,94.6,3.647,3.0,19.4,14.6,14.4,18.6,14.2,9.0,4.4
C4,R1,Tundra,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,5,94.8,2.775,3.0,19.4,14.4,14.4,18.8,14.6,9.0,4.2
C4,R2,Granite,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,5,92.8,4.438,3.0,19.0,13.8,13.8,18.4,14.4,9.0,4.4
C4,R3,Quartz,comparing/authoring_results/run-2026-05-01-D003/C4_R3.md,5,91.4,4.037,3.0,18.8,13.6,14.0,18.0,13.6,8.8,4.6
C5,R1,Juniper,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,5,94.8,2.775,3.0,18.8,14.6,14.4,18.8,14.0,9.4,4.8
C5,R2,Ember,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,5,92.0,3.808,3.0,18.8,13.8,13.8,18.4,14.2,8.6,4.4
C5,R3,Ivory,comparing/authoring_results/run-2026-05-01-D003/C5_R3.md,5,96.2,1.643,3.0,19.8,14.6,14.4,18.8,15.0,9.0,4.6
